ResponseId	Moral_DIL	Age_correct	Attention_check	CCA	Duration	Heure_TOT	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Outcome	Study	Duration.min	Moral_SCA	Moral_CAR	SleepEfficiency.criteria
99_S2		1	1	1	311	10.6333333333333	24	31	39	33	4	3	Scale	2	150	31		
101_S2		1	1	1	919	10.7	31	24	31	26	5	3	Scale	2	150	33		
102_S2		1	1	1	307	10.7	27	25	30	22	5	3	Scale	2	150	32		
103_S2		1	1	1	468	12.7666666666667	25	29	37	34	0	0	Scale	2	150	32		
104_S2		1	1	1	848	10.9	23	18	20	10	2	2	Scale	2	150	30		
106_S2		1	1	1	614	12.2	35	10	28	17	7	3	Scale	2	150	38		
107_S2		1	1	1	10548	13.0333333333333	21	27	22	27	2	0	Scale	2	150	28		
108_S2		1	1	1	531	12.9666666666667	39	15	23	11	7	2	Scale	2	150	37		
109_S2		1	1	1	204	11.8666666666667	34	35	16	19	2	2	Scale	2	150	32		
110_S2		1	1	1	454	11.0333333333333	28	29	26	22	5	1	Scale	2	150	33		
1_S3		1	1	1	759	17.25							Scale	3	150	36		
2_S3		1	1	1	1195	17.3333333333333							Scale	3	150	34		
3_S3		1	1	1	1032	17.45							Scale	3	150	35		
4_S3		1	1	1	1077	17.5166666666667							Scale	3	150	35		
5_S3		1	1	1	1785	17.85							Scale	3	150	38		
13_S3		1	1	1	516	11.4166666666667							Scale	3	150	43		
14_S3		1	1	1	1126	15.7666666666667							Scale	3	150	38		
18_S3		1	1	1	1000	17.6166666666667							Scale	3	150	30		
19_S3		1	1	1	951	16.1833333333333							Scale	3	150	44		
24_S3		1	1	1	1046	10.1833333333333							Scale	3	150	37		
32_S3		1	1	1	2473	11							Scale	3	150	34		
33_S3		1	1	1	2266	14.65							Scale	3	150	40		
34_S3		1	1	1	1350	15.5							Scale	3	150	36		
49_S3		1	1	1	1051	11.5333333333333							Scale	3	150	38		
50_S3		1	1	1	673	15.6166666666667							Scale	3	150	37		
51_S3		1	1	1	610	11.95							Scale	3	150	33		
52_S3		1	1	1	1263	14.55							Scale	3	150	44		
53_S3		1	1	1	868	15.3666666666667							Scale	3	150	36		
1_S4	66.17	1	1	1	530	12.2666666666667								4	200	30	0.642857142857143	
2_S4	62.64	1	1	1	635	12.2833333333333								4	200	38	1	
3_S4	57.22	1	1	1	703	9.31666666666667								4	200	32	1	
4_S4	58.8	1	1	1	544	12.4666666666667								4	200	35	0.785714285714286	
5_S4	48.92	1	1	1	442	12.3833333333333								4	200	30	0.857142857142857	
6_S4	56.1	1	1	1	636	10.4								4	200	30	1	
7_S4	79.89	1	1	1	721	9.38333333333333								4	200	38	0.785714285714286	
8_S4	0	1	1	1	557	12.4								4	200	30	1	
9_S4	8.64	1	1	1	442	12.4								4	200	24	1	
10_S4	91.54	1	1	1	679	9.4								4	200	33	1	
11_S4	80.87	1	1	1	691	10.4166666666667								4	200	39	0.785714285714286	
12_S4	56.38	1	1	1	552	11.4166666666667								4	200	34	0.857142857142857	
13_S4	80.49	1	1	1	470	12.4333333333333								4	200	40	0.928571428571429	
14_S4	74.27	1	1	1	787	9.43333333333333								4	200	32	0.714285714285714	
16_S4	80.98	1	1	1	795	12.4666666666667								4	200	40	0.857142857142857	
17_S4	50.54	1	1	1	373	12.4666666666667								4	200	32	0.857142857142857	
18_S4	25.74	1	1	1	1222	12.4666666666667								4	200	30	0.785714285714286	
19_S4	74.26	1	1	1	517	9.5								4	200	30	1	
20_S4	84.39	1	1	1	735	12.5								4	200	34	0.571428571428571	
21_S4	110	1	1	1	276	11.5								4	200	46	1	
22_S4	62.92	1	1	1	132	11.5								4	200	28	1	
23_S4	61.54	1	1	1	209	12.55								4	200	32	1	
26_S4	65.51	1	1	1	471	12.5666666666667								4	200	38	0.785714285714286	
27_S4	84.46	1	1	1	456	12.5833333333333								4	200	36	0.5	
28_S4	110	1	1	1	480	11.5833333333333								4	200	40	0.714285714285714	
30_S4	68.28	1	1	1	1396	12.6166666666667								4	200	31	0.714285714285714	
31_S4	79.22	1	1	1	1462	9.63333333333333								4	200	35	0.5	
33_S4	53.31	1	1	1	151	12.75								4	200	33	0.571428571428571	
34_S4	77.94	1	1	1	408	9.8								4	200	34	1	
35_S4	42.27	1	1	1	670	12.8333333333333								4	200	25	0.5	
36_S4	61.38	1	1	1	773	9								4	200	32	0.714285714285714	
37_S4	51.22	1	1	1	594	13								4	200	39	1	
38_S4	66.72	1	1	1	136	10.0666666666667								4	200	31	0.928571428571429	
39_S4	72.03	1	1	1	314	13.0833333333333								4	200	31	1	
40_S4	10	1	1	1	595	12.0833333333333								4	200	26	0.5	
41_S4	10.1	1	1	1	223	13.1								4	200	32	1	
42_S4	93.62	1	1	1	590	11.15								4	200	39	0.714285714285714	
43_S4	81.02	1	1	1	654	9								4	200	35	0.5	
44_S4	8.22	1	1	1	475	12.1833333333333								4	200	27	0.928571428571429	
45_S4	71.92	1	1	1	534	11.1833333333333								4	200	30	0.857142857142857	
46_S4	89.6	1	1	1	409	13.2166666666667								4	200	35	1	
47_S4	73.81	1	1	1	577	9.25								4	200	34	0.928571428571429	
48_S4	71.47	1	1	1	820	13.2833333333333								4	200	37	0.857142857142857	
49_S4	34.37	1	1	1	420	13.3								4	200	32	1	
50_S4	40	1	1	1	641	12.3333333333333								4	200	33	1	
51_S4	55.64	1	1	1	152	12.45								4	200	33	0.5	
52_S4	95.7	1	1	1	412	10.45								4	200	32	0.285714285714286	
53_S4	0	1	1	1	821	13.5166666666667								4	200	25	0.5	
54_S4	61.58	1	1	1	369	10.5333333333333								4	200	36	0.928571428571429	
56_S4	39.91	1	1	1	287	13.65								4	200	36	0.714285714285714	
57_S4	64.71	1	1	1	320	9.45								4	200	32	0.428571428571429	
58_S4	51.79	1	1	1	638	13.7333333333333								4	200	32	0.571428571428571	
59_S4	32.62	1	1	1	356	10.7666666666667								4	200	34	0.857142857142857	
60_S4	59.95	1	1	1	688	10.7666666666667								4	200	37	1	
61_S4	73	1	1	1	509	13.7								4	200	31	0.857142857142857	
62_S4	60	1	1	1	1038	10.85								4	200	31	0.428571428571429	
63_S4	87.69	1	1	1	1341	13.9								4	200	41	0.785714285714286	
64_S4	61.86	1	1	1	625	10.9166666666667								4	200	36	1	
67_S4	59.71	1	1	1	493	11.0333333333333								4	200	31	0.785714285714286	
69_S4	58.34	1	1	1	1950	14.1166666666667								4	200	29	0.928571428571429	
70_S4	64.65	1	1	1	629	14.15								4	200	37	0.857142857142857	
